price,latitude,longitude,bedrooms,area,pkspaces,bathrooms,ensuites,suburb,district,city,state,type
1500,-8.0597911,-34.8896191,4,37,3,3,,Boa Vista,Recife,Recife,Pernambuco,apart
330000,-8.0295954,-34.9003716,3,86,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
255000,-8.0372467,-34.8909859,2,82,1,2,,Encruzilhada,Recife,Recife,Pernambuco,apart
380000,-8.0475622,-34.8769643,3,95,2,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
300000,-8.0535802,-34.9087328,3,97,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
320000,-8.0265163,-34.9177915,2,50,1,2,1,Casa Amarela,Recife,Recife,Pernambuco,apart
750000,-8.0475622,-34.8769643,4,115,2,4,2,Santo Amaro,Recife,Recife,Pernambuco,apart
260000,-8.036285,-34.9037314,1,38,1,1,,Jaqueira,Recife,Recife,Pernambuco,apart
470000,-8.0535802,-34.9087328,3,70,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
420000,-8.0475622,-34.8769643,3,67,1,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
1238839,-8.0565421,-34.9437716,4,58,3,3,1,Engenho do Meio,Recife,Recife,Pernambuco,apart
420000,-8.0265163,-34.9177915,2,63,1,2,1,Casa Amarela,Recife,Recife,Pernambuco,apart
650000,-8.0451555,-34.9020596,4,130,2,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
200000,-8.1410291,-34.9047115,4,52,3,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
280000,-8.0335534,-34.9189597,1,40,1,1,,Casa Forte,Recife,Recife,Pernambuco,apart
740000,-8.0334239,-34.9103805,3,112,2,3,1,Parnamirim,Recife,Recife,Pernambuco,apart
350000,-8.0321635,-34.881336,2,66,1,2,1,Campo Grande,Recife,Recife,Pernambuco,apart
1800,-8.0559795,-34.8953473,4,120,3,3,1,Soledade,Recife,Recife,Pernambuco,apart
730000,-8.0475622,-34.8769643,3,180,3,3,1,Santo Amaro,Recife,Recife,Pernambuco,apart
390000,-8.045011,-34.9099178,3,80,1,2,1,Torre,Recife,Recife,Pernambuco,apart
420000,-8.0335534,-34.9189597,3,72,1,3,1,Casa Forte,Recife,Recife,Pernambuco,apart
400000,-8.0431433,-34.8913824,3,100,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
261125,-8.1195619,-34.8962867,4,72,,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
360000,-8.0331118,-34.8974905,2,60,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
330000,-8.0431433,-34.8913824,3,104,1,3,1,Espinheiro,Recife,Recife,Pernambuco,apart
370000,-8.0331118,-34.8974905,3,72,1,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
230000,-8.0451555,-34.9020596,2,70,1,2,,Gra̤as,Recife,Recife,Pernambuco,apart
390000,-8.0372467,-34.8909859,3,62,2,3,1,Encruzilhada,Recife,Recife,Pernambuco,apart
320000,-8.0331118,-34.8974905,2,55,1,2,1,Tamarineira,Recife,Recife,Pernambuco,apart
500000,-8.0331118,-34.8974905,3,100,2,3,1,Tamarineira,Recife,Recife,Pernambuco,apart
380000,-8.0321635,-34.881336,3,80,2,2,1,Campo Grande,Recife,Recife,Pernambuco,apart
185000,-8.0321635,-34.881336,3,78,1,2,,Campo Grande,Recife,Recife,Pernambuco,apart
735000,-8.0334239,-34.9103805,3,112,2,3,1,Parnamirim,Recife,Recife,Pernambuco,apart
390000,-8.0265163,-34.9177915,2,90,2,2,1,Casa Amarela,Recife,Recife,Pernambuco,apart
340000,-8.0535802,-34.9087328,3,74,1,3,1,Madalena,Recife,Recife,Pernambuco,apart
650000,-8.0335534,-34.9189597,3,110,1,3,1,Casa Forte,Recife,Recife,Pernambuco,apart
550000,-8.0535802,-34.9087328,3,106,2,2,1,Madalena,Recife,Recife,Pernambuco,apart
246000,-8.0397908,-34.896209,1,36,1,1,,Aflitos,Recife,Recife,Pernambuco,apart
315000,-8.0451555,-34.9020596,3,106,1,3,1,Gra̤as,Recife,Recife,Pernambuco,apart
340000,-8.0265163,-34.9177915,2,60,1,2,1,Casa Amarela,Recife,Recife,Pernambuco,apart
1200,-8.1219558,-34.9010994,4,80,3,3,,Boa Viagem,Recife,Recife,Pernambuco,apart
